月,日,種別,利用駅,種別,利用駅,残額,差額
01,05,物販,,,,\1642,-140
01,05,入,東武栃木,出,五反野,\740,-902
01,05,物販,,,,\332,-408
01,06,ｶｰﾄﾞ,モバイル,,,\10332,+10000
01,06,物販,,,,\9103,-1229
01,07,ﾊﾞｽ等,東急バス,,,\8893,-210
01,07,物販,,,,\7870,-1023
01,08,物販,,,,\6477,-1393
01,09,物販,,,,\5569,-908
01,10,ﾊﾞｽ等,東急バス,,,\5359,-210
01,10,物販,,,,\4811,-548
01,10,入,五反野,出,東武栃木,\3909,-902
01,13,入,東武栃木,出,五反野,\3007,-902
01,13,物販,,,,\2412,-595
01,14,ﾊﾞｽ等,東急バス,,,\2202,-210
01,14,物販,,,,\1260,-942
01,15,ｶｰﾄﾞ,モバイル,,,\11260,+10000
01,15,物販,,,,\9719,-1541
01,16,ﾊﾞｽ等,東急バス,,,\9509,-210
01,16,物販,,,,\8791,-718
01,17,ﾊﾞｽ等,東急バス,,,\8581,-210
01,17,物販,,,,\8072,-509
01,17,入,五反野,出,東武栃木,\7170,-902
01,17,物販,,,,\5782,-1388
01,19,入,東武栃木,出,五反野,\4880,-902
01,19,物販,,,,\3948,-932
01,20,ﾊﾞｽ等,東急バス,,,\3838,-110
01,20,物販,,,,\2395,-1443
01,21,物販,,,,\1288,-1107
01,22,ﾊﾞｽ等,東急バス,,,\1078,-210
01,22,物販,,,,\180,-898
01,23,ｶｰﾄﾞ,モバイル,,,\10180,+10000
01,23,物販,,,,\8736,-1444
01,24,物販,,,,\8381,-355
01,24,ﾊﾞｽ等,東急バス,,,\8171,-210
01,24,物販,,,,\7774,-397
01,24,入,五反野,出,東武栃木,\6872,-902
01,26,物販,,,,\6732,-140
01,26,入,東武栃木,出,五反野,\5830,-902
01,26,物販,,,,\5043,-787
01,27,物販,,,,\4033,-1010
01,28,ﾊﾞｽ等,東急バス,,,\3823,-210
01,28,物販,,,,\2691,-1132
01,29,物販,,,,\1675,-1016
01,30,物販,,,,\1395,-280
01,30,物販,,,,\1235,-160
01,30,物販,,,,\745,-490
01,30,ｶｰﾄﾞ,モバイル,,,\10745,+10000
01,30,物販,,,,\9912,-833
01,31,物販,,,,\9074,-838
01,31,入,五反野,出,東武栃木,\8172,-902
01,31,物販,,,,\8042,-130
02,03,物販,,,,\6342,-1700
02,03,物販,,,,\6202,-140
02,03,入,東武栃木,出,五反野,\5300,-902
02,03,物販,,,,\2656,-2644
02,03,物販,,,,\2384,-272
02,04,物販,,,,\1440,-944
02,05,物販,,,,\826,-614
02,05,ｶｰﾄﾞ,モバイル,,,\10826,+10000
02,05,物販,,,,\9028,-1798
02,06,物販,,,,\8385,-643
02,06,物販,,,,\7583,-802
02,07,物販,,,,\6876,-707
02,07,物販,,,,\6736,-140
02,07,入,五反野,出,東武栃木,\5834,-902
02,08,物販,,,,\4356,-1478
02,11,物販,,,,\4216,-140
02,11,入,東武栃木,出,五反野,\3314,-902
02,11,物販,,,,\2531,-783
02,12,物販,,,,\1822,-709
02,12,ｶｰﾄﾞ,モバイル,,,\11822,+10000
02,12,入,五反野,出,東武北千,\11675,-147
02,12,入,北千住,出,川崎,\11202,-473
02,12,入,川崎,出,秋葉原,\10806,-396
02,12,入,地秋葉原,出,五反野,\10460,-346
02,12,物販,,,,\9608,-852
02,12,物販,,,,\9046,-562
02,13,物販,,,,\8296,-750
02,13,物販,,,,\8166,-130
02,13,入,五反野,出,東武栃木,\7264,-902
02,14,物販,,,,\5244,-2020
02,15,物販,,,,\5049,-195
02,15,物販,,,,\4939,-110
02,15,物販,,,,\4829,-110
02,19,物販,,,,\3708,-1121
02,22,物販,,,,\3018,-690
02,22,物販,,,,\2871,-147
02,23,物販,,,,\1207,-1664
02,24,ｶｰﾄﾞ,モバイル,,,\11207,+10000
02,24,入,東武栃木,出,五反野,\10305,-902
02,24,物販,,,,\9802,-503
02,25,入,五反野,出,東武北千,\9655,-147
02,25,入,北千住,出,川崎,\9182,-473
02,25,物販,,,,\9062,-120
02,25,物販,,,,\8793,-269
02,25,物販,,,,\8673,-120
02,25,物販,,,,\8570,-103
02,25,物販,,,,\8440,-130
02,25,入,川崎,出,上野,\8044,-396
02,25,入,地　上野,出,五反野,\7729,-315
02,25,物販,,,,\6673,-1056
02,26,入,五反野,出,東武北千,\6526,-147
02,26,入,北千住,出,川崎,\6053,-473
02,26,物販,,,,\5933,-120
02,26,物販,,,,\5813,-120
02,26,物販,,,,\5683,-130
02,26,入,川崎,出,上野,\5287,-396
02,26,入,地　上野,出,五反野,\4972,-315
02,26,物販,,,,\3579,-1393
02,27,入,五反野,出,東武北千,\3432,-147
02,27,入,北千住,出,川崎,\2959,-473
02,27,物販,,,,\2839,-120
02,27,物販,,,,\2709,-130
02,27,入,川崎,出,上野,\2313,-396
02,27,入,地　上野,出,五反野,\1998,-315
02,27,物販,,,,\866,-1132
02,28,入,五反野,出,東武北千,\719,-147
02,28,物販,,,,\515,-204
02,28,入,北千住,出,川崎,\42,-473
02,28,ｶｰﾄﾞ,モバイル,,,\10042,+10000
02,28,物販,,,,\9922,-120
02,28,物販,,,,\9802,-120
02,28,入,川崎,出,上野,\9406,-396
02,28,入,地　上野,出,五反野,\9091,-315
02,28,物販,,,,\7951,-1140
02,29,物販,,,,\7821,-130
02,29,入,五反野,出,東武栃木,\6919,-902
03,01,入,東武栃木,出,五反野,\6017,-902
03,01,物販,,,,\5491,-526
03,02,物販,,,,\5287,-204
03,02,物販,,,,\5147,-140
03,02,物販,,,,\5024,-123
03,02,物販,,,,\4227,-797
03,03,物販,,,,\4107,-120
03,03,物販,,,,\3977,-130
03,03,物販,,,,\3857,-120
03,03,物販,,,,\2720,-1137
03,04,物販,,,,\2600,-120
